"","local_authority","phase_type","affordability","number_developments","rurality","housing_type","himidlow","number_beds","pupil_yield"
"1","LA01","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.841
"2","LA01","All Phases","market.housing","Total","Total","Total","Total","Total",1.3949
"3","LA01","AP","affordable.housing","Total","Total","Total","Total","Total",0
"4","LA01","AP","market.housing","Total","Total","Total","Total","Total",0
"5","LA01","EY","affordable.housing","Total","Total","Total","Total","Total",0.7359
"6","LA01","EY","market.housing","Total","Total","Total","Total","Total",0.7077
"7","LA01","FE","affordable.housing","Total","Total","Total","Total","Total",0.1846
"8","LA01","FE","market.housing","Total","Total","Total","Total","Total",0.0821
"9","LA01","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.8
"10","LA01","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",1.3821
"11","LA01","PRU","affordable.housing","Total","Total","Total","Total","Total",0.0051
"12","LA01","PRU","market.housing","Total","Total","Total","Total","Total",0
"13","LA01","PS","affordable.housing","Total","Total","Total","Total","Total",0.659
"14","LA01","PS","market.housing","Total","Total","Total","Total","Total",0.4385
"15","LA01","SEN","affordable.housing","Total","Total","Total","Total","Total",0.041
"16","LA01","SEN","market.housing","Total","Total","Total","Total","Total",0.0128
"17","LA01","SS","affordable.housing","Total","Total","Total","Total","Total",0.2538
"18","LA01","SS","market.housing","Total","Total","Total","Total","Total",0.1564
"19","LA02","All Phases","affordable.housing","Total","Total","Total","Total","Total",1.528
"20","LA02","All Phases","market.housing","Total","Total","Total","Total","Total",0.992
"21","LA02","AP","affordable.housing","Total","Total","Total","Total","Total",0.008
"22","LA02","AP","market.housing","Total","Total","Total","Total","Total",0.008
"23","LA02","EY","affordable.housing","Total","Total","Total","Total","Total",0.584
"24","LA02","EY","market.housing","Total","Total","Total","Total","Total",0.328
"25","LA02","FE","affordable.housing","Total","Total","Total","Total","Total",0.064
"26","LA02","FE","market.housing","Total","Total","Total","Total","Total",0.136
"27","LA02","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",1.472
"28","LA02","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.976
