time_period,la_name,tenure,housing,number_of_bedrooms,education_phase,education_type,geographic_level,number_of_pupils,completed_properties_up_to_FY,pupil_yield,completed_properties_up_to_FYAbs,pupil_yieldAbs
200809,LA3,Market,Houses,4+,Primary,Mainstream,District,0,16,0,16,0
200809,LA3,Market,Houses,4+,Secondary,Mainstream,District,0,16,0,16,0
200809,LA2,Market,Houses,2,Post-16,Mainstream,District,0,15,0,15,0
200910,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,0,38,0,38,0
200910,LA3,Market,Houses,2,Post-16,Mainstream,District,0,35,0,35,0
200910,LA3,Market,Houses,4+,Early Years,Mainstream,District,0,26,0,26,0
200910,LA2,Market,Flats,1,Secondary,Mainstream,District,0,47,0,47,0
201011,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,0,145,0,107,0
201011,LA2,Market,Flats,1,Secondary,Mainstream,District,0,94,0,47,0
201112,LA1,Affordable,Houses,2,SP/Alternative,Special School,District,0,44,0,44,0
201112,LA1,Market,Houses,2,Secondary,Mainstream,District,0,35,0,35,0
201112,LA4,Market,Houses,4+,Early Years,Mainstream,District,0,19,0,19,0
201112,LA4,Market,Houses,4+,Primary,Mainstream,District,0,19,0,19,0
201112,LA4,Market,Houses,4+,Secondary,Mainstream,District,0,19,0,19,0
201112,LA2,Market,Flats,1,Secondary,Mainstream,District,0,131,0,37,0
201213,LA3,Market,Houses,1,Early Years,Mainstream,District,0,14,0,14,0
201213,LA3,Market,Houses,1,Post-16,Mainstream,District,0,14,0,14,0
201213,LA3,Market,Houses,1,Primary,Mainstream,District,0,14,0,14,0
201213,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,14,0,14,0
201213,LA3,Market,Houses,1,Secondary,Mainstream,District,0,14,0,14,0
201213,LA3,Market,Houses,2,SP/Alternative,Special School,District,0,214,0,214,0
201213,LA3,Market,Houses,4+,SP/Alternative,Special School,District,0,128,0,128,0
201213,LA1,Affordable,Houses,2,SP/Alternative,Special School,District,0,67,0,23,0
201213,LA4,Market,Houses,4+,Early Years,Mainstream,District,0,22,0,3,0
201213,LA4,Market,Houses,4+,SP/Alternative,Special School,District,0,22,0,22,0
201213,LA2,Market,Flats,1,Early Years,Mainstream,District,0,189,0,189,0
201213,LA2,Market,Flats,3,Post-16,Mainstream,District,0,13,0,13,0
201213,LA2,Market,Flats,3,Secondary,Mainstream,District,0,13,0,13,0
201314,LA3,Affordable,Houses,2,SP/Alternative,Special School,District,0,341,0,42,0
201314,LA3,Market,Houses,1,Early Years,Mainstream,District,0,16,0,2,0
201314,LA3,Market,Houses,1,Post-16,Mainstream,District,0,16,0,2,0
201314,LA3,Market,Houses,1,Primary,Mainstream,District,0,16,0,2,0
201314,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,16,0,2,0
201314,LA3,Market,Houses,1,Secondary,Mainstream,District,0,16,0,2,0
201314,LA3,Market,Houses,2,SP/Alternative,Special School,District,0,352,0,138,0
201314,LA3,Market,Houses,4+,SP/Alternative,Special School,District,0,147,0,19,0
201314,LA1,Affordable,Houses,2,SP/Alternative,Special School,District,0,85,0,18,0
201314,LA4,Market,Flats,1,Secondary,Mainstream,District,0,103,0,103,0
201314,LA4,Market,Houses,2,Post-16,Mainstream,District,0,22,0,22,0
201314,LA4,Market,Houses,2,Secondary,Mainstream,District,0,22,0,22,0
201314,LA4,Market,Houses,4+,SP/Alternative,Special School,District,0,31,0,9,0
201314,LA2,Market,Flats,3,Early Years,Mainstream,District,0,17,0,4,0
201314,LA2,Market,Flats,3,Post-16,Mainstream,District,0,17,0,4,0
201314,LA2,Market,Houses,1,Post-16,Mainstream,District,0,16,0,16,0
201314,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,16,0,16,0
201314,LA2,Market,Houses,1,Secondary,Mainstream,District,0,16,0,16,0
201415,LA3,Market,Houses,1,Early Years,Mainstream,District,0,19,0,3,0
201415,LA3,Market,Houses,1,Post-16,Mainstream,District,0,19,0,3,0
201415,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,19,0,3,0
201415,LA3,Market,Houses,1,Secondary,Mainstream,District,0,19,0,3,0
201415,LA3,Market,Houses,2,SP/Alternative,Special School,District,0,432,0,80,0
201415,LA3,Market,Houses,4+,SP/Alternative,Special School,District,0,153,0,6,0
201415,LA4,Market,Flats,1,Secondary,Mainstream,District,0,169,0,66,0
201415,LA4,Market,Houses,2,Post-16,Mainstream,District,0,24,0,2,0
201415,LA4,Market,Houses,2,SP/Alternative,Special School,District,0,24,0,2,0
201415,LA4,Market,Houses,2,Secondary,Mainstream,District,0,24,0,2,0
201415,LA4,Market,Houses,4+,Post-16,Mainstream,District,0,38,0,7,0
201415,LA2,Market,Houses,1,Post-16,Mainstream,District,0,25,0,9,0
201415,LA2,Market,Houses,1,SP/Alternative,Mainstream,District,0,25,0,25,0
201415,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,25,0,9,0
201516,LA3,Market,Houses,1,Early Years,Mainstream,District,0,19,0,0,NA
201516,LA3,Market,Houses,1,Post-16,Mainstream,District,0,19,0,0,NA
201516,LA3,Market,Houses,1,SP/Alternative,Mainstream,District,0,19,0,19,0
201516,LA3,Market,Houses,1,SP/Alternative,Special School,District,0,19,0,0,NA
201516,LA3,Market,Houses,1,Secondary,Mainstream,District,0,19,0,0,NA
201516,LA3,Market,Houses,2,SP/Alternative,Mainstream,District,0,500,0,500,0
201516,LA3,Market,Houses,2,SP/Alternative,Special School,District,0,500,0,68,0
201516,LA3,Market,Houses,4+,SP/Alternative,Mainstream,District,0,171,0,171,0
201516,LA3,Market,Houses,4+,SP/Alternative,Special School,District,0,171,0,18,0
201516,LA4,Affordable,Houses,2,Early Years,Mainstream,District,0,37,0,3,0
201516,LA4,Market,Houses,2,Post-16,Mainstream,District,0,28,0,4,0
201516,LA4,Market,Houses,2,SP/Alternative,Special School,District,0,28,0,4,0
201516,LA4,Market,Houses,4+,Post-16,Mainstream,District,0,38,0,0,NA
201516,LA4,Market,Houses,4+,SP/Alternative,Special School,District,0,38,0,0,NA
201516,LA2,Market,Flats,3,Early Years,Mainstream,District,0,18,0,0,NA
201516,LA2,Market,Houses,1,SP/Alternative,Mainstream,District,0,26,0,1,0
201516,LA2,Market,Houses,1,SP/Alternative,Special School,District,0,26,0,1,0
201516,LA2,Market,Houses,1,Secondary,Mainstream,District,0,26,0,1,0
201617,LA3,Market,Houses,1,Post-16,Mainstream,District,0,19,0,0,NA
201617,LA3,Market,Houses,1,SP/Alternative,Mainstream,District,0,19,0,0,NA
